request_index,url,status_code,success,error_message,api_request_response_ms,backend_latency_ms,timingMs.total_backend,timingMs.feature_extraction,timingMs.brand_analysis,timingMs.histgb_inference,timingMs.url_transformer_inference,timingMs.decision_fusion
1,https://ktun.edu.tr,200,True,,69.1012,62.0000,62.2051,7.3083,0.1218,39.0326,4.6295,0.0816
2,https://obs.ktun.edu.tr,200,True,,138.6783,109.0000,109.1562,11.1231,0.1343,82.4909,5.3883,0.1047
3,https://turkiye.gov.tr,200,True,,126.2221,117.0000,116.8486,19.9167,0.5220,86.5427,,0.0863
4,https://enabiz.gov.tr,200,True,,105.7252,99.0000,99.1975,27.0135,0.5833,60.3499,,0.0828
5,https://mhrs.gov.tr,200,True,,112.0885,106.0000,106.4321,12.6484,0.7776,72.5445,6.6470,0.1110
6,https://ziraatbank.com.tr,200,True,,201.7873,196.0000,196.0657,23.6759,0.3091,162.8244,,0.0592
7,https://garanti.com.tr,200,True,,186.5804,181.0000,180.5678,22.9353,0.3149,139.3868,,0.0660
8,https://trendyol.com,200,True,,116.6435,93.0000,93.4161,30.4323,0.6849,49.7464,,0.0479
9,https://kkktun.edu.tr,200,True,,247.5397,221.0000,221.2255,16.4280,88.4743,96.6338,8.8091,0.1113
10,https://ktun-login.com,200,True,,287.1325,268.0000,268.3407,18.5110,126.3211,105.0277,6.2333,0.0757
11,https://login-ziraat-bankasi-guvenli.com/login,200,True,,362.144,355.0000,355.3501,41.2667,226.5233,66.4474,9.2318,0.1350
12,https://garanti-guvenli.com/login,200,True,,257.6956,245.0000,244.7972,29.8487,136.9980,59.4541,6.6907,0.0947
13,https://turkiye-gov-tr.com/basvuru,200,True,,226.1289,220.0000,220.2197,21.0994,117.4055,63.4897,6.4724,0.1910
14,https://edevlet-basvuru.net/login,200,True,,267.2297,261.0000,260.8798,30.0209,128.5722,81.7190,9.2639,0.1118
15,https://enabiz-sonuc.com,200,True,,296.3101,271.0000,271.2900,42.4589,124.2819,87.3539,5.5119,0.1277
16,https://mhrs-randevu.org,200,True,,260.3834,254.0000,253.9067,21.8235,125.6210,85.3475,7.6062,0.0963
17,https://ptt-kargo-takip.net,200,True,,339.169,280.0000,279.9081,37.8467,135.3579,85.8195,6.4667,0.1296
18,https://trendyol-iade-formu.com,200,True,,267.7104,261.0000,260.9723,32.2063,148.9886,60.5156,9.8211,0.1382
